split,image_file,label_file,bad_lines,total_lines
test,110957_leftImg8bit_png.rf.2432029f5db97bf6f3341cd99385d667.jpg,110957_leftImg8bit_png.rf.2432029f5db97bf6f3341cd99385d667.txt,2,2
train,008094_leftImg8bit_png.rf.ebc9c620fc672bce0262c611974129bf.jpg,008094_leftImg8bit_png.rf.ebc9c620fc672bce0262c611974129bf.txt,2,3
train,008129_leftImg8bit_png.rf.7feabac23894dc17f1bd47c80b9df987.jpg,008129_leftImg8bit_png.rf.7feabac23894dc17f1bd47c80b9df987.txt,2,4
train,227176_leftImg8bit_png.rf.0a8f599a304d51ce5672b4aefacaa7e6.jpg,227176_leftImg8bit_png.rf.0a8f599a304d51ce5672b4aefacaa7e6.txt,2,3
train,351875_leftImg8bit_png.rf.7bf89021336f3790a30bfa2a386f3190.jpg,351875_leftImg8bit_png.rf.7bf89021336f3790a30bfa2a386f3190.txt,2,3
train,MP_SEL_B027713_jpg.rf.fd775175a229b91027eb769e94d88183.jpg,MP_SEL_B027713_jpg.rf.fd775175a229b91027eb769e94d88183.txt,2,2
valid,088176_leftImg8bit_png.rf.ace58221218293992e5751d79124f245.jpg,088176_leftImg8bit_png.rf.ace58221218293992e5751d79124f245.txt,2,6
test,008579_leftImg8bit_png.rf.c3cb09edb43767f77e3dd1ee454d4e64.jpg,008579_leftImg8bit_png.rf.c3cb09edb43767f77e3dd1ee454d4e64.txt,1,2
test,024901_leftImg8bit_png.rf.34d16de09adf14279563e0e3f16a05ee.jpg,024901_leftImg8bit_png.rf.34d16de09adf14279563e0e3f16a05ee.txt,1,4
test,194890_leftImg8bit_png.rf.1e179ef79f8e1b885a3ce4e0352f6df3.jpg,194890_leftImg8bit_png.rf.1e179ef79f8e1b885a3ce4e0352f6df3.txt,1,3
test,197688_leftImg8bit_png.rf.c5834f213cfc4a860b1b90b0fa17ccd7.jpg,197688_leftImg8bit_png.rf.c5834f213cfc4a860b1b90b0fa17ccd7.txt,1,4
test,364999_leftImg8bit_png.rf.51c2eb28fa08872d97e6d3c2d1452472.jpg,364999_leftImg8bit_png.rf.51c2eb28fa08872d97e6d3c2d1452472.txt,1,3
test,390917_leftImg8bit_png.rf.6d8110509d830bb7fc2c324e1a107339.jpg,390917_leftImg8bit_png.rf.6d8110509d830bb7fc2c324e1a107339.txt,1,1
test,391165_leftImg8bit_png.rf.38cd1b7c828bad1e36fcc83d4c91c63e.jpg,391165_leftImg8bit_png.rf.38cd1b7c828bad1e36fcc83d4c91c63e.txt,1,3
test,457514_leftImg8bit_png.rf.608da35430363db64ae57da1b76cfebd.jpg,457514_leftImg8bit_png.rf.608da35430363db64ae57da1b76cfebd.txt,1,4
test,951920_leftImg8bit_png.rf.ca979a71a99584770f5a3bca7a6579b8.jpg,951920_leftImg8bit_png.rf.ca979a71a99584770f5a3bca7a6579b8.txt,1,2
test,MP_SEL_B027742_jpg.rf.a21cafac880b6a80dc1eb8dac7248424.jpg,MP_SEL_B027742_jpg.rf.a21cafac880b6a80dc1eb8dac7248424.txt,1,3
test,WhatsApp-Image-2024-07-31-at-2-57-16-PM_jpeg.rf.2a5f75421a0f06b4edff694d5f69f961.jpg,WhatsApp-Image-2024-07-31-at-2-57-16-PM_jpeg.rf.2a5f75421a0f06b4edff694d5f69f961.txt,1,3
test,gambar-184-_jpg.rf.38e885b7dddca592145c5f23d2f2e87c.jpg,gambar-184-_jpg.rf.38e885b7dddca592145c5f23d2f2e87c.txt,1,1
test,images-24-_jpg.rf.e95116dd3e6f1c31025eb6884f116b81.jpg,images-24-_jpg.rf.e95116dd3e6f1c31025eb6884f116b81.txt,1,7
train,008279_leftImg8bit_png.rf.257ae363858c43d4209ba692a125d93a.jpg,008279_leftImg8bit_png.rf.257ae363858c43d4209ba692a125d93a.txt,1,1
train,008452_leftImg8bit_png.rf.ce750f1ca7cf60209df5ce5615b5455e.jpg,008452_leftImg8bit_png.rf.ce750f1ca7cf60209df5ce5615b5455e.txt,1,3
train,008482_leftImg8bit_png.rf.d7969f7c847e5d75bceedbd2e1efac14.jpg,008482_leftImg8bit_png.rf.d7969f7c847e5d75bceedbd2e1efac14.txt,1,3
train,008850_leftImg8bit_png.rf.ddd8d4df5d35b13a8351247d8fa51a7a.jpg,008850_leftImg8bit_png.rf.ddd8d4df5d35b13a8351247d8fa51a7a.txt,1,2
train,008879_leftImg8bit_png.rf.e3cc486e6b6421f09a61dfbc4956708d.jpg,008879_leftImg8bit_png.rf.e3cc486e6b6421f09a61dfbc4956708d.txt,1,2
train,009179_leftImg8bit_png.rf.9e2d57d45f5fb37dbc35b8e93ea1e865.jpg,009179_leftImg8bit_png.rf.9e2d57d45f5fb37dbc35b8e93ea1e865.txt,1,2
train,009479_leftImg8bit_png.rf.cc626823dcf0a5997a4a736a33461627.jpg,009479_leftImg8bit_png.rf.cc626823dcf0a5997a4a736a33461627.txt,1,2
train,009956_leftImg8bit_png.rf.80e06ad5195fdfb0c6727f14b36bfe9f.jpg,009956_leftImg8bit_png.rf.80e06ad5195fdfb0c6727f14b36bfe9f.txt,1,2
train,010200_leftImg8bit_png.rf.01d86be41739ffd9755e935d913e4625.jpg,010200_leftImg8bit_png.rf.01d86be41739ffd9755e935d913e4625.txt,1,4
train,010409_leftImg8bit_png.rf.e6dc28217eba8d4fb16d5f12d805eb58.jpg,010409_leftImg8bit_png.rf.e6dc28217eba8d4fb16d5f12d805eb58.txt,1,4
train,012255_leftImg8bit_png.rf.f5f7c6fb47de1c7d5fb3553fa77b0dea.jpg,012255_leftImg8bit_png.rf.f5f7c6fb47de1c7d5fb3553fa77b0dea.txt,1,5
train,012285_leftImg8bit_png.rf.b717abe97492198bfa4631ef1fefb46f.jpg,012285_leftImg8bit_png.rf.b717abe97492198bfa4631ef1fefb46f.txt,1,4
train,012330_leftImg8bit_png.rf.f7ecbac9e16e805c0e8b6e77917b8ee6.jpg,012330_leftImg8bit_png.rf.f7ecbac9e16e805c0e8b6e77917b8ee6.txt,1,3
train,017990_leftImg8bit_png.rf.9c786598a73842bb0a6476a50396152d.jpg,017990_leftImg8bit_png.rf.9c786598a73842bb0a6476a50396152d.txt,1,3
train,020537_leftImg8bit_png.rf.07b653185035fba5b67014603630fceb.jpg,020537_leftImg8bit_png.rf.07b653185035fba5b67014603630fceb.txt,1,2
train,021671_leftImg8bit_png.rf.cdd12db56fa0dfb060aa92793ced4148.jpg,021671_leftImg8bit_png.rf.cdd12db56fa0dfb060aa92793ced4148.txt,1,3
train,025501_leftImg8bit_png.rf.c5648e01dde897a549e4d759671205ea.jpg,025501_leftImg8bit_png.rf.c5648e01dde897a549e4d759671205ea.txt,1,5
train,025942_leftImg8bit_png.rf.5206c03f857ef5da62a9ce2fb9668162.jpg,025942_leftImg8bit_png.rf.5206c03f857ef5da62a9ce2fb9668162.txt,1,3
train,026326_leftImg8bit_png.rf.fd1fc9f516a78a8c51b245d87a6bfafe.jpg,026326_leftImg8bit_png.rf.fd1fc9f516a78a8c51b245d87a6bfafe.txt,1,2
train,062900_leftImg8bit_png.rf.6cb2abe631e1ea760e1856c2667b2214.jpg,062900_leftImg8bit_png.rf.6cb2abe631e1ea760e1856c2667b2214.txt,1,3
train,070068_leftImg8bit_png.rf.527195e0c8c65ae01488bdbd0b11f49e.jpg,070068_leftImg8bit_png.rf.527195e0c8c65ae01488bdbd0b11f49e.txt,1,3
